Title,Date,Content,"Access to a secure digital","Accessible and sustainable","Affecting Topics","Type of organisations",Countries,Impact,"Alert types","Civic and political","Civil Society Organisation","Enabling principles","New Contextual","New Violations","Open and responsive State","Respect and protection","Socioeconomic rights","Specific age groups","Specific groups minority","Supportive legal","Supportive public culture","Permalink Path",Permalink
"Security, Governance, and the Enabling Environment: Effects Following Recent Operations in Mexico Seguridad, gobernabilidad y entorno habilitante: efectos tras los recientes operativos en México",2026-03-02,"Event SummaryOn February 22, 2026, Mexican federal forces killed Nemesio Oseguera Cervantes (“El Mencho”), leader of the Jalisco New Generation Cartel (CJNG), in an operation carried out in Jalisco. Following the announcement, the cartel coordinated a violent response that included highway blockades and the suspension of activities in different parts of the country. The events drew particular international attention because Guadalajara, the capital of this state and one of the main cities affected, will host matches during the 2026 FIFA World Cup.
Beyond the impact on public security, the episode has direct implications for the enabling environment for civil society. The widespread violence temporarily restricted freedom of movement and disrupted daily life. Moreover, in contexts where organized crime maintains territorial control, this type of event often deepens dynamics of self-censorship among local media, journalists, human rights defenders, and community organizations, weakening civic action.
In addition, the episode has fueled disinformation processes and tensions on social media, complicating public trust in the state’s response to criminal groups and in citizen security more broadly.
At the institutional level, the possibility of further militarization of public security, without robust civilian oversight mechanisms, poses additional risks to the balance between security and civic freedoms.
At the same time, the international attention generated by these events—at a moment preceding a global sporting event—affects external perceptions of democratic governance in Mexico, as well as ongoing tensions with the U.S. government regarding security issues.
Taken together, this event represents, under the current administration, a milestone in the confrontation between the State and organized crime, as well as a turning point that may structurally affect the environment for civic participation and trust in democratic institutions throughout this year.
&nbsp;
El 22 de febrero de 2026, fuerzas federales mexicanas abatieron a Nemesio Oseguera Cervantes (“El Mencho”), líder del Cártel Jalisco Nueva Generación (CJNG), en un operativo realizado en Jalisco. Tras el anuncio, se registró una reacción violenta  coordinada por parte del cartel que incluyó bloqueos carreteros y paralización de actividades en distintos puntos del país. Los hechos tuvieron especial resonancia internacional debido a que Guadalajara la capital de esta entidad, una de las principales ciudades afectadas, será sede de la Copa Mundial de la FIFA 2026. 
Más allá del impacto en seguridad pública, el episodio tiene implicaciones directas en el entorno habilitante para la sociedad civil. La violencia generalizada restringió temporalmente la libre circulación y alteró la vida cotidiana. Asimismo, en contextos donde el crimen organizado mantiene presencia territorial, este tipo de eventos suele profundizar dinámicas de autocensura entre medios locales, periodistas, defensoras y organizaciones comunitarias, debilitando la acción ciudadana. 
Además, el episodio ha alimentado procesos de desinformación y tensiones en redes sociales, complicando la confianza pública en torno a la respuesta estatal ante grupos criminales y la seguridad ciudadana. 
En el plano institucional, la posibilidad de una mayor militarización de la seguridad pública, sin mecanismos sólidos de supervisión civil, plantea riesgos adicionales para el equilibrio entre seguridad y libertades cívicas. Al mismo tiempo, la atención internacional generada por los hechos en un momento previo a un evento deportivo global incide en la percepción externa sobre la gobernabilidad democrática en México y las constantes tensiones con el gobierno de EUA respecto al tema de seguridad. 
En conjunto, este evento representa en este gobierno un hito en la confrontación entre el Estado y el crimen organizado, además de un punto que puede afectar estructuralmente el entorno para la participación ciudadana y la confianza en las instituciones democráticas durante este año.",,,,,Mexico,Negative,"Deterioration alert","Freedom of the press",,"1. Respect and protection of fundamental freedoms | 4. Open and responsive state | 5. Supportive public culture and discourses on civil society | 6. Access to a secure digital environment",,,"Changes in degree of government accountability to civil society","Freedom of assembly | Freedom of association | Freedom of expression | Non-physical Intimidation Tactics",,,,,,/event/security-governance-and-the-enabling-environment-effects-following-recent-operations-in-mexico-seguridad-gobernabilidad-y-entorno-habilitante-efectos-tras-los-recientes-operativos-en-mexico/,https://events-eusee.hivos.org/event/security-governance-and-the-enabling-environment-effects-following-recent-operations-in-mexico-seguridad-gobernabilidad-y-entorno-habilitante-efectos-tras-los-recientes-operativos-en-mexico/
"Israeli authorities close Burj al-Luqluq Community Association in East Jerusalem",2026-02-26,"Event SummaryOn 17 February 2026, the Israeli authorities closed the Burj al-Luqluq Community Association in occupied East Jerusalem for six months. This action is considered an attempt to undermine the Palestinian community work in the city, despite the association being officially registered, operating in accordance with the law, and carrying out educational, cultural, sports, and social activities serving thousands of children, women, and youth in Jerusalem.
The closure decision will affect 300–500 direct beneficiaries who rely on the association, which represents one of the broadest community initiatives within the Old City of Jerusalem and serves as a vital center in the lives of local residents. Its activities include comprehensive sports, cultural, and educational programs, women’s empowerment initiatives, strengthening national identity, and support for local businesses, in addition to operating a kindergarten, computer lab, life skills programs, and a pottery workshop.
This event is not isolated from the broader context of the Israeli occupation’s actions affecting cultural and community institutions in Jerusalem. In the same week, Israeli occupation forces raided the headquarters of the Yabous Cultural Center and delivered a summons ordering the center’s administration to appear for questioning at an interrogation center. These actions undermine the respect and protection of fundamental civic freedoms, including the right to form associations, and deteriorate a supportive legal and regulatory framework that enables associations to operate.",,,,,Palestine,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework",,,,"Freedom of association",,,,"Changes affecting the environment for civil society actors to operate | Changes affecting the formation and registration of CSOs | Suspension or Dissolution of Organizations",,/event/israeli-authorities-close-burj-al-luqluq-community-association-in-east-jerusalem/,https://events-eusee.hivos.org/event/israeli-authorities-close-burj-al-luqluq-community-association-in-east-jerusalem/
"Arbitrary Arrest of Female Journalist Mustafa Manal",2026-02-26,"Event SummaryOn February 16, 2026, Federal Police forces aligned with the Rapid Support Forces (RSF) conducted a raid on the residence of Manal Mustafa, a former Nyala Radio journalist, in the Texas area of southern Nyala near Qadra Market. She was apprehended around 8:00 PM and transferred to the Nyala Police Station located in the main market area. Manal Mustafa operates “Al-Manhal,” a centre based at her home that empowers women through pastry-making and business training. Sources from the Human Rights Watch Network – Sudan indicated that her detention was prompted by a recent session she led for female journalists at her residence, which had been organised under the “Women Journalists for Peace” initiative two weeks earlier.",,,"Civic and political engagement",,Sudan,Negative,"Deterioration alert","Freedom of the press",,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework | 4. Open and responsive state",,,"Changes in degree of participation of and engagement with civil society","Arbitrary Arrests and Detentions | Freedom of association | Freedom of expression",,,,"Changes affecting the environment for civil society actors to operate | Changes affecting the protection from interference in civil society actor’s operations",,/event/arbitrary-arrest-of-female-journalist-mustafa-manal/,https://events-eusee.hivos.org/event/arbitrary-arrest-of-female-journalist-mustafa-manal/
"Suspension of activities of four  Sudanese civil society organisations by Humanitarian Aid Commission",2026-02-26,"Event SummaryOn 3 February 2026, the Council of Ministers, the Humanitarian Aid Commission and Registrar General of NGOs issued a letter cancelling the registration of four Non-Governmental Organisations namely: Darfur Victims Support Organisation, Kayan Organisation for Women's Empowerment and Peace Building, Enjaz Organisation for Gender, Humanitarian Aid and Development and Union of Darfuri Scholars and the Experts Organisation.
In the letter received, there was no clear reason was given for this cancellation. The Council of Ministers, the Humanitarian Aid Commission and Registrar General of NGOs asked other government institutions to suspend all activities with the organisations within their jurisdiction.",,,,,Sudan,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework | 4. Open and responsive state",,,"Changes in degree of participation of and engagement with civil society","Freedom of association",,,,"Changes affecting the formation and registration of CSOs",,/event/suspension-of-activities-of-four-sudanese-civil-society-organisations-by-humanitarian-aid-commission/,https://events-eusee.hivos.org/event/suspension-of-activities-of-four-sudanese-civil-society-organisations-by-humanitarian-aid-commission/
"Nepal withdraws ban of 26 major social media platforms",2026-02-26,"Event SummaryThe government of Nepal has moved to withdraw the controversial Social Media Bill from the National Assembly. The decision, taken on 6 February 2026, by the government, reverses a proposal introduced by the previous government in February 2025. The bill was under review by the Legislation Management Committee and will be formally withdrawn once endorsed by the National Assembly.
The move to withdraw the Social Media Bill comes amid sustained public criticism from civil society organisations, media groups and digital rights advocates who argued that several provisions of the proposed law were overly broad and could undermine freedom of expression. The bill had already sparked protests and public demonstrations in 2025, with civil society groups warning that its provisions posed serious risks to constitutional freedoms. The bill’s strict and controversial provisions required social media platforms to obtain government approval to operate and had proposed to impose fines of up to Rs10 million for non-compliance. Users could face severe penalties, including up to five years in prison and fines for spreading false or misleading information, especially under fake identities. The bill also criminalized content deemed harmful to Nepal’s sovereignty, national unity, and security, along with online harassment, hacking, creation of fake accounts or groups, and the use of AI-generated deepfake videos. The heavy fines and imprisonment clauses were widely criticized as excessive and potentially restrictive to freedom of expression. Nepal’s Constitution guarantees freedom of expression as a fundamental right. The critics contended that the bill’s vague definitions, particularly around content deemed harmful to sovereignty, national unity, and security could be misused to silence dissent or critical voices online.","Internet Censorship",,,,Nepal,Positive,"Improvement alert",,,"1. Respect and protection of fundamental freedoms | 6. Access to a secure digital environment",,,,"Freedom of expression",,,,,,/event/nepal-withdraws-ban-of-26-major-social-media-platforms/,https://events-eusee.hivos.org/event/nepal-withdraws-ban-of-26-major-social-media-platforms/
"Foro for Colombia positions citizen monitoring tool in the Ministry of Defense and the Attorney General&#8217;s Office: reactivating reform agenda on protest regulation | Foro por Colombia posiciona herramienta de monitoreo ciudadano en el Ministerio de Defensa y la Fiscalía General: reactivando la agenda de reformas sobre regulación de protestas",2026-02-26,"Event Summary
Over the week of 16 - 22 February 2026, Foro Nacional por Colombia held two high-level institutional meetings that mark the concrete reactivation of legislative and public policy discussions on the regulation and protection of the right to protest in the country.
The first meeting was held at the Ministry of Defence, coordinated with the Cabinet Secretariat, with the participation of the Human Rights Commissioner for the National Police, Colonel (retired) Luis Alfonso Novoa Díaz, as well as members of the General Inspectorate and Professional Responsibility, the Dialogue and Order Maintenance Unit (UNDMO) and the General Secretariat. The second meeting took place at the Attorney General's Office with the Specialised Directorate against Human Rights Violations and the Working Group for Social Protest. At this meeting, the recent appointment of Dayana Blanco Acendra as Specialised Director against Human Rights Violations was highlighted. She had previously participated in coordination efforts for the alliance of organisations in Colombia.
At both meetings, the D-A-O-C citizen monitoring tool, which aims to provide civil society organizations with practical tools to document, evaluate, and influence state action in protest contexts, was well received and generated explicit interest on the part of Commissioner Novoa and the Working Group on Social Protest. The Public Prosecutor's Office also proposed exploring the development of an easy-to-use technological tool to strengthen the traceability, systematisation and institutional use of the findings derived from monitoring. The tool, which translates international standards and national regulations into verifiable and sequential procedures, is thus consolidated as a technical input for improving accountability, strengthening the principle of the primacy of dialogue, and reducing margins of operational discretion.

Durante la semana del 16 al 22 de febrero de 2026, el Foro Nacional por Colombia celebró dos reuniones institucionales de alto nivel que marcan la reactivación concreta de los debates legislativos y de políticas públicas sobre la regulación y la protección del derecho a la protesta en el país.
La primera reunión se celebró en el Ministerio de Defensa, coordinada con la Secretaría del Gabinete, con la participación del Comisionado de Derechos Humanos de la Policía Nacional, coronel (retirado) Luis Alfonso Novoa Díaz, así como miembros de la Inspección General y Responsabilidad Profesional, la Unidad de Diálogo y Mantenimiento del Orden (UNDMO) y la Secretaría General. La segunda reunión tuvo lugar en la Fiscalía General de la Nación con la Dirección Especializada contra las Violaciones de Derechos Humanos y el Grupo de Trabajo para la Protesta Social. En esta reunión se destacó el reciente nombramiento de Dayana Blanco Acendra como Directora Especializada contra las Violaciones de Derechos Humanos, quien anteriormente había participado en los esfuerzos de coordinación de la alianza de organizaciones en Colombia.
En ambas reuniones, la herramienta de monitoreo ciudadano D-A-O-C, cuyo objetivo es proporcionar a las organizaciones de la sociedad civil herramientas prácticas para documentar, evaluar e influir en la acción del Estado en contextos de protesta, fue bien recibida y generó un interés explícito por parte del Comisionado Novoa y del Grupo de Trabajo sobre Protesta Social. La Fiscalía General también propuso explorar el desarrollo de una herramienta tecnológica fácil de usar para fortalecer la trazabilidad, la sistematización y el uso institucional de los resultados derivados del monitoreo. La herramienta, que traduce las normas internacionales y las regulaciones nacionales en procedimientos verificables y secuenciales, se consolida así como un aporte técnico para mejorar la rendición de cuentas, fortalecer el principio de la primacía del diálogo y reducir los márgenes de discrecionalidad operativa.",,,,,Colombia,Positive,"Opportunity alert",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework",,,,"Freedom of assembly | Improvement in the rights protection framework",,,,"Changes affecting the environment for civil society actors to operate",,/event/foro-for-colombia-positions-citizen-monitoring-tool-in-the-ministry-of-defense-and-the-attorney-generals-office-reactivating-reform-agenda-on-protest-regulation-foro-por-colombia-posiciona-herrami/,https://events-eusee.hivos.org/event/foro-for-colombia-positions-citizen-monitoring-tool-in-the-ministry-of-defense-and-the-attorney-generals-office-reactivating-reform-agenda-on-protest-regulation-foro-por-colombia-posiciona-herrami/
"Arrest of Tonse Alliance members for alleged unlawful assembly in Kalulushi raises concerns over freedom of assembly",2026-02-26,"Event SummaryOn 21 February 2026, sixteen (16) members affiliated with the Tonse Alliance were arrested in Kalulushi District, Copperbelt Province, on allegations of unlawful assembly. The arrests were carried out by the Zambia Police Service following a meeting held at a local guest house. The Tonse Alliance is a political coalition in Zambia formed to bring together opposition parties with the aim of unseating the current government from office in 2026.
According to police accounts, the individuals were apprehended for convening without notifying authorities as required under the Public Order Act. Those arrested reportedly stated that the gathering was a private planning meeting, with some indicating it was related to preparations for International Women’s Day activities. All sixteen individuals were detained and charged accordingly.
The incident occurred amid heightened political sensitivity ahead of the August 2026 General Elections and has raised concern among civil society and opposition actors about the scope and application of public order regulations to private political meetings.",,,,,Zambia,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms",,,,"Arbitrary Arrests and Detentions | Freedom of assembly",,,,,,/event/arrest-of-tonse-alliance-members-for-alleged-unlawful-assembly-in-kalulushi-raises-concerns-over-freedom-of-assembly/,https://events-eusee.hivos.org/event/arrest-of-tonse-alliance-members-for-alleged-unlawful-assembly-in-kalulushi-raises-concerns-over-freedom-of-assembly/
"Mustapha Bendjama&#8217;s new conviction amid repeated legal proceedings in Annaba | Nouvelle condamnation de Mustapha Bendjama dans le cadre de procédures judiciaires répétées à Annaba",2026-02-24,"Event SummaryBetween January and February 2026, Algerian journalist Mustapha Bendjama was the subject of several court hearings in Annaba, in the context of repeated prosecutions related to his journalistic work and his posts on social media. Multiple sources reported several summonses and hearings in January 2026, followed by an appearance on 10 February 2026 in a new case, resulting in a sentence on 17 February 2026 of six months' imprisonment, a fine and payment to the public treasury. A new court appearance was also announced for 25 February.
According to published reports, the charges relate in particular to offences linked to the ""dissemination of information"" and ""harming the national interest"" in connection with journalistic content and Facebook posts. The case is part of a broader pattern of judicial harassment that has been documented for several years, including by RSF, CPJ, and MENA Rights Group. In 2024, the UN Working Group on Arbitrary Detention concluded that his deprivation of liberty in a previous case was arbitrary.

Entre janvier et février 2026, le journaliste algérien Mustapha Bendjama a fait l'objet de plusieurs audiences à Annaba, dans le cadre de poursuites judiciaires répétées liées à son travail journalistique et à ses publications sur les réseaux sociaux. Plusieurs sources ont fait état de plusieurs convocations et audiences en janvier 2026, suivies d'une comparution le 10 février 2026 dans le cadre d'une nouvelle affaire, qui a abouti le 17 février 2026 à une condamnation à six mois d'emprisonnement, à une amende et au paiement d'une somme au Trésor public. Une nouvelle comparution a également été annoncée pour le 25 février.
Selon les informations publiées, les accusations portent notamment sur des infractions liées à la « diffusion d'informations » et à la « atteinte à l'intérêt national » en rapport avec des contenus journalistiques et des publications sur Facebook. Cette affaire s'inscrit dans un contexte plus large de harcèlement judiciaire documenté depuis plusieurs années, notamment par RSF, CPJ et MENA Rights Group. En 2024, le Groupe de travail des Nations unies sur la détention arbitraire a conclu que sa privation de liberté dans une affaire précédente était arbitraire.","Internet Censorship",,,,Algeria,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework | 4. Open and responsive state | 6. Access to a secure digital environment",,,"Changes in degree of government accountability to civil society","Arbitrary Arrests and Detentions | Freedom of expression | Freedom of the press / media",,,,"Changes affecting the environment for civil society actors to operate | Changes affecting the protection from interference in civil society actor’s operations",,/event/mustapha-bendjamas-new-conviction-amid-repeated-legal-proceedings-in-annaba-nouvelle-condamnation-de-mustapha-bendjama-dans-le-cadre-de-procedures-judiciaires-repetees-a-annaba/,https://events-eusee.hivos.org/event/mustapha-bendjamas-new-conviction-amid-repeated-legal-proceedings-in-annaba-nouvelle-condamnation-de-mustapha-bendjama-dans-le-cadre-de-procedures-judiciaires-repetees-a-annaba/
"Social Media Suspension in Gabon by the High Authority for Communication | Suspension des réseaux sociaux au Gabon par la Haute Autorité de la communication",2026-02-24,"Event SummaryOn Tuesday, 17 February 2026, the High Authority for Communication (HAC), meeting in ordinary plenary session under the chairmanship of Mr Ngoyo Moussavou, decided to immediately suspend social media throughout Gabon until further notice. This decision follows the repeated dissemination of inappropriate, defamatory, hateful and abusive content on social media and other digital platforms accessible in Gabon. According to the HAC, these publications undermine human dignity, public morals, the honour of citizens, social cohesion and the stability of the Republic's institutions, as well as national security.
The HAC emphasised that suspended digital tools would be misused by certain activists to harm institutions and public figures, in violation of Law 019/2016 of 9 August 2016 (on the communications code, which organises the framework for audiovisual, written, digital and cinematographic communication activities) and Law No. 014/2023 of 3 July 2023 (which aims to restructure the HAC in its existence and functioning, in accordance with Article 47 of the Gabonese Constitution).
The HAC reiterated that freedom of expression, including the right to comment and criticise, remains a fundamental right guaranteed in Gabon. However, this right cannot be exercised outside the national and international legal framework. According to the HAC, the abuses observed, which are considered potentially conflictual and destabilising, would seriously threaten national unity and democratic gains. Consequently, it has decided to suspend social media in order to preserve social peace and better regulate the digital space. The institution's spokesperson stated that this measure is intended to create a healthier environment for the exercise of digital freedom of expression in Gabon.

Le mardi 17 février 2026, la Haute Autorité de la Communication (HAC), réunie en session plénière ordinaire sous la présidence de M. Ngoyo Moussavou, a décidé de suspendre immédiatement les réseaux sociaux sur l'ensemble du territoire gabonais jusqu'à nouvel ordre. Cette décision fait suite à la diffusion répétée de contenus inappropriés, diffamatoires, haineux et injurieux sur les réseaux sociaux et autres plateformes numériques accessibles au Gabon. Selon la HAC, ces publications portent atteinte à la dignité humaine, à la moralité publique, à l'honneur des citoyens, à la cohésion sociale et à la stabilité des institutions de la République, ainsi qu'à la sécurité nationale.
La HAC a souligné que les outils numériques suspendus seraient utilisés à mauvais escient par certains activistes pour nuire aux institutions et aux personnalités publiques, en violation de la loi 019/2016 du 9 août 2016 (relative au code des communications, qui organise le cadre des activités de communication audiovisuelle, écrite, numérique et cinématographique) et de la loi n° 014/2023 du 3 juillet 2023 (qui vise à restructurer la HAC dans son existence et son fonctionnement, conformément à l'article 47 de la Constitution gabonaise).
La HAC a réaffirmé que la liberté d'expression, y compris le droit de commenter et de critiquer, reste un droit fondamental garanti au Gabon. Toutefois, ce droit ne peut être exercé en dehors du cadre juridique national et international. Selon la HAC, les abus observés, considérés comme potentiellement conflictuels et déstabilisateurs, menaceraient gravement l'unité nationale et les acquis démocratiques. En conséquence, elle a décidé de suspendre les réseaux sociaux afin de préserver la paix sociale et de mieux réguler l'espace numérique. Le porte-parole de l'institution a déclaré que cette mesure vise à créer un environnement plus sain pour l'exercice de la liberté d'expression numérique au Gabon.","Internet Censorship",,,,Gabon,Negative,"Early warning alert",,,"1. Respect and protection of fundamental freedoms | 6. Access to a secure digital environment",,,,"Freedom of expression",,,,,,/event/social-media-suspension-in-gabon-by-the-high-authority-for-communication-suspension-des-reseaux-sociaux-au-gabon-par-la-haute-autorite-de-la-communication/,https://events-eusee.hivos.org/event/social-media-suspension-in-gabon-by-the-high-authority-for-communication-suspension-des-reseaux-sociaux-au-gabon-par-la-haute-autorite-de-la-communication/
"Media publishing company investigated by regulatory body I Empresa editora de medios es intervenida por la entidad reguladora",2026-02-24,"Event SummaryThrough Resolution SCVS-DNGDA-2026-00355-O, issued on 18 February 2026, the Superintendence of Companies —the regulatory body overseeing private companies— notified the media publisher Gráficos Nacionales S.A. (Granasa) that it will be placed under intervention in order to “closely supervise its economic and financial operations and promote the correction of the irregularities identified.” The decision is based on Granasa’s refusal to provide sensitive financial and administrative information to the Technical Secretariat for Public Sector Real Estate Management, a state entity that holds 2.56% of the company’s shares. According to the resolution, the company stated that documents such as audit reports and audited financial statements are available at its offices; however, it denied access to 23 other documents, arguing that, under Article 15 of the Companies Law, there are “objective reasons” to believe the information could be used for purposes unrelated to the company’s corporate interests or in ways that could harm the company.
The process is presumed to be linked to a case involving alleged irregularities in the transfer of a share package equivalent to 40% of Granasa. Although the Intervention Regulation establishes that this is a temporary measure, the procedure could enable additional actions, including the regulator’s temporary assumption of control over that share package. In the past, Granasa’s management has claimed that these measures seek to pressure the editorial line of the newspapers Expreso and Extra, which have been critical of Daniel Noboa’s government. It should be noted that the Secretariat is, in theory, independent from the Superintendence and unrelated to the investigation into the aforementioned transfer. Moreover, on February 14, President Noboa decreed the merger of this Secretariat into the Presidency of the Republic.
The intervention was made public on 19 February through social media by organizations such as Ecuador Chequea and Fundamedios, which described the decision as disproportionate and potentially aimed at altering the editorial line of both newspapers. Additionally, given that the Technical Secretariat is currently under the direct authority of President Noboa, there is a risk that similar actions could be pursued against Granasa in the future. These could be used to justify further interventions or the adoption of administrative measures that may eventually lead to sanctions against the company.
&nbsp;
Mediante la resolución SCVS-DNGDA-2026-00355-O, emitida el 18 de febrero de 2026, la Superintendencia de Compañías —organismo regulador de las empresas privadas— notificó a la editora de medios Gráficos Nacionales S.A. (Granasa) que será intervenida con el objetivo de “supervigilar la marcha económico-financiera y propiciar la corrección de las irregularidades advertidas”. La decisión se sustenta en la negativa de Granasa a entregar información financiera y administrativa sensible a la Secretaría Técnica de Gestión Inmobiliaria del Sector Público, entidad estatal que posee el 2,56 % de las acciones. Según la resolución, la empresa sostuvo que documentos como informes de auditoría y estados financieros auditados están disponibles en sus oficinas; no obstante, negó el acceso a otros 23 documentos al considerar que, amparándose en el artículo 15 de la Ley de Compañías, existen “razones objetivas” para pensar que podría usarse con fines extrasociales o perjudicar los intereses de la compañía.
Se presume que esto proceso se vincula con el caso de presuntas irregularidades en la transferencia de un paquete accionario equivalente al 40 % de Granasa. Aunque el Reglamento de Intervención establece que esta es una medida temporal, el procedimiento podría habilitar acciones adicionales, incluida la toma de control transitoria de ese paquete por parte del ente regulador. En el pasado, la dirección de Granasa ha denunciado que estas medidas buscan presionar la línea editorial de los diarios Expreso y Extra, críticos del gobierno de Daniel Noboa. Cabe señalar que la Secretaría es, en teoría, independiente de la Superintendencia y ajena a la investigación sobre dicha transferencia. Además, el 14 de febrero, el presidente Noboa decretó la fusión de esta Secretaría dentro de la Presidencia de la República.
La intervención se hizo pública el 19 de febrero a través de redes sociales por organizaciones como Ecuador Chequea y Fundamedios, que calificó la decisión como desproporcionada y potencialmente orientada a alterar la línea editorial de ambos diarios. Adicionalmente, considerando que la Secretaría Técnica se encuentra actualmente bajo la autoridad directa del presidente Noboa, existe el riesgo de que en el futuro se impulsen nuevas acciones similares contra Granasa. Estas podrían ser utilizadas para legitimar intervenciones adicionales o la adopción de medidas administrativas que eventualmente deriven en sanciones contra la empresa.",,,,,Ecuador,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms | 4. Open and responsive state",,,"Changes in degree of transparency of government / freedom of information","Freedom of expression | Freedom of the press / media",,,,,,/event/media-publishing-company-investigated-by-regulatory-body-i-empresa-editora-de-medios-es-intervenida-por-la-entidad-reguladora/,https://events-eusee.hivos.org/event/media-publishing-company-investigated-by-regulatory-body-i-empresa-editora-de-medios-es-intervenida-por-la-entidad-reguladora/
"Consultation gaps and risks to communities and natural resources in data center special tax regime",2026-02-24,"Event SummaryBrazil’s Provisional Measure (MP) 1318/2025, issued on 18 September 2025, created the ReData special tax regime to attract large-scale data center investment. As of February 2026, the measure is still awaiting the required congressional review, particularly the installation of the Joint Congressional Committee (Chamber of Deputies and Senate. This procedural delay keeps the policy in place while limiting substantive scrutiny and amendments. According to the current legislative timeline, the deliberation window has been extended and is open until 25 February 2026, under an accelerated procedure. The legislative process has moved under an accelerated (“urgency”) procedure creating a narrowing timeframe in which Congress may approve, amend, or allow the measure to lapse, increasing the risk that major fiscal and sustainability decisions advance without adequate democratic oversight. Civil society engagement and monitoring therefore remain time-sensitive in the coming weeks.
Brazil’s push to position itself as a “green digital hub” has accelerated through fiscal incentives for large-scale data centers, despite mounting concerns about resource use and democratic oversight. While government narratives emphasize innovation, competitiveness, and sustainability, civil society organizations and researchers have flagged risks that data center expansion can intensify water consumption, energy demand, and e-waste generation, with limited local benefits and weak transparency from major operators. Specific territorial disputes have emerged, including in drought-prone areas (e.g., Ceará) and in environmentally fragile or disaster-affected regions (e.g., Rio Grande do Sul after the 2024 floods), where communities report inadequate information and participation. Although a formal online consultation channel exists, affected Indigenous and local communities argue that participation has been late and constrained, with no prior free, informed consultation before project planning and regulatory design advanced.
The combination of a fast legislative timetable and high-stakes resource impacts makes this a critical enabling-environment issue. In the coming weeks it will be needed that more civil society actors make their voice heard via the consultation platform to reflect especially the perspectives of those who will bear the local costs of this initiative: riverine (ribeirinha) communities and other traditional populations.",,,,,Brazil,Negative,"Early warning alert",,,"4. Open and responsive state",,,"Changes in degree of participation of and engagement with civil society",,,,,,,/event/consultation-gaps-and-risks-to-communities-and-natural-resources-in-data-center-special-tax-regime/,https://events-eusee.hivos.org/event/consultation-gaps-and-risks-to-communities-and-natural-resources-in-data-center-special-tax-regime/
"Trinidad and Tobago accedes to the Escazú Agreement",2026-02-24,"Event SummaryOn 27 January 2026, Trinidad and Tobago officially joined the Escazú Agreement by depositing its instrument of accession at the United Nations. The Agreement will enter into force for the country on 27 April 2026.
The Escazú Agreement is a regional treaty for Latin America and the Caribbean that focuses on three main areas: access to environmental information, public participation in environmental decision-making, and access to justice in environmental matters. It also includes specific protections for environmental human rights defenders.
The decision to join the Escazu Agreement follows a period of direct engagement between civil society and policy makers about the benefits of the agreement. Environmental groups in Trinidad and Tobago have for many years called for stronger public participation and better access to environmental information. Civil society organisations have similarly raised concerns about the quality of public consultations and the difficulty communities sometimes face in accessing timely and clear environmental data.
The Caribbean Natural Resources Institute (CANARI) welcomed the decision in a public statement on 29 January 2026, describing it as an important step toward strengthening transparency, public participation, and environmental rights in Trinidad and Tobago.
By joining the Agreement, the government has committed to improving how it shares environmental information, involves the public in environmental decisions, and protects people who defend environmental rights. This has the potential to strengthen the enabling environment for civil society, especially environmental NGOs and community groups.
Until the Agreement enters into force on 27 April 2026, the government needs to review laws, procedures, and institutional practices to ensure they meet Escazú standards, providing an important opportunity civil society to engage with the state on how the Escazú commitments will be put into practice.",,,,,"Trinidad and Tobago",Positive,"Improvement alert",,,"1. Respect and protection of fundamental freedoms | 4. Open and responsive state",,,"Changes in degree of participation of and engagement with civil society | Changes in degree of transparency of government / freedom of information","Freedom of assembly | Freedom of association | Freedom of expression",,,,,,/event/trinidad-and-tobago-accedes-to-the-escazu-agreement/,https://events-eusee.hivos.org/event/trinidad-and-tobago-accedes-to-the-escazu-agreement/
