post_title,summary,creation_date,category,post_tag,alert-country,enabling-principle,alert-impact,alert-type,respect-and-protection,supportive-legal,accessible-and-sustainable,open-and-responsive-state,supportive-public-culture,access-to-a-secure-digital,affecting-topic,socioeconomic-rights,specific-groups-minority,specific-age-groups,civic-and-political
"President warns to use 2/3 majority to amend the law to control local government councils","Event Summary
The local government elections in Sri Lanka were held on May 6, 2025. Although the National People&#8217;s Power (NPP) party emerged as the winner, it failed to secure over 51% of the votes in most electoral districts, achieving a majority in only three. This outcome opens the door for opposition parties to form alliances or coalitions that could collectively hold a majority of seats, thereby enabling them to take control of local government councils—unless the NPP is able to form similar coalitions.
On May 15, 2025, the President of Sri Lanka responded to this possibility by stating that if parties that did not individually win a majority attempt to gain control of local councils through coalitions, his government would use its two-thirds majority in Parliament to amend the law and prevent such coalition-led control.
",2025-06-09,,,"Sri Lanka","Respect and protection of fundamental freedoms, State openness and responsiveness to civil society, Supportive legal and regulatory framework",Negative,,,,,,,,,,,,
"Use of excessive force against protesters","Event Summary
Since April 2025, Panama has experienced nationwide protests led by construction workers, teachers’ unions, Indigenous communities, and environmental groups. The protesters oppose a range of government decisions, including reforms to the Social Security Fund, the reopening of the Panama Copper Mine, construction of a reservoir in the Río Indio basin, and new defence agreements signed between President Mulino and the U.S. Secretary of Defense.
Police has responded with excessive force including widespread roadblocks and street closures, particularly in Indigenous territories. Reports have emerged of over 200 arrests, injuries, and allegations of police brutality, including excessive use of tear gas and arbitrary detentions—raising concerns about the criminalisation of protest.
This comes also after President Mulino publicly responded to the protests, particularly the 4 April demonstration by teachers and construction workers. In a controversial statement, he dismissed the protesters as communists, accusing them of “fishing in anarchy” and called the protests a “national failure.”
He also described the University of Panama as a “den of terrorists  following student-led protests and road closures. These remarks have drawn criticism for inflaming tensions and undermining the right to peaceful protest.
",2025-06-10,,,Panama,"Civic Culture and Public Discourses on Civil Society, Respect and protection of fundamental freedoms",Negative,"Deterioration alert","Arbitrary Arrests and Detentions, Freedom of expression, Freedom of the press / media",,,,"Negative discourses on CSOs, Negative labelling of CSOs, Public Defamation against NGOs",,,,,,
"Surveillance and Policing of Youth-Led Public Book Discussion at Independence Square","Event Summary
On 10 May 2025, youth groups Liga Mahasiswa Malaysia and the Federation of Malaysian Youth held a book reading and discussion event at the Independence Square in Kuala Lumpur. During the event, eight to ten enforcement officers—comprising five to seven plainclothed police personnel and three officers from Kuala Lumpur City Hall (DBKL)—approached the group and began questioning the organisers. A senior officer from Dang Wangi’s Criminal Investigation Department asked if prior notice had been submitted to the district police chief, referring to the event as an “assembly”, and proceeded to question the organisers about the event’s purpose, the books being read, and the participants, including whether any were current university students. 
Organisers were told they could continue until 10.30pm but must then disperse. When asked to explain the legal basis, the officer did not respond directly, instead citing the group’s public event poster and number of social media followers. He explained that the group’s platform was routinely monitored, and that they came to the event to assess whether any “unpublicised elements” were being discussed. One representative was asked for identification for the officer&#8217;s internal report. 
Two to three days later, Dang Wangi police denied involvement, stating that their officers patrol the area in uniform and asserting that “there is no law prohibiting people from meeting friends and reading books in public spaces,” and that the event did not constitute a large-scale gathering that violated any regulation. DBKL defended its actions by citing by-laws requiring the mayor’s approval for all activities at Independence Square, and that events involving public assemblies must also secure police approval under the Local Government Act. It also emphasised that early applications are necessary given Dataran Merdeka’s iconic status, to “avoid future misunderstandings and ensure the smooth running of programmes.” 
",2025-06-10,,,Malaysia,"Respect and protection of fundamental freedoms",Negative,"Context to watch","Freedom of assembly",,,,,,,,,,
"Proyecto de Ley Antipiquetes en Córdoba: Riesgos para el derecho a la protesta social y el entorno habilitante","Event Summary
En mayo de 2025, autoridades de la provincia de Córdoba anunciaron su intención de impulsar un nuevo proyecto de ley para regular las manifestaciones públicas y limitar los cortes de calle, luego de que la Cámara de Acusación sobreseyera a seis dirigentes sindicales y sociales por una protesta realizada en abril de 2023. El Ministro de Seguridad provincial, Juan Pablo Quinteros, criticó abiertamente el fallo judicial, señalando que representaba un “retroceso” en el orden público y planteando la necesidad de establecer nuevos “límites tolerables” para la protesta.
Este proyecto de ley se enmarca en una tendencia nacional más amplia hacia la criminalización de la protesta social, reflejada también en la adopción del Protocolo para el Mantenimiento del Orden Público ante el Corte de Vías de Circulación (Resolución 943/2023) a nivel federal, y en el Decreto 340/2025 que amplía las actividades consideradas “esenciales” restringiendo el derecho de huelga.
Aunque la ley aún no ha sido aprobada, su avance legislativo genera preocupación entre organizaciones sociales, sindicales y de derechos humanos, quienes advierten que su adopción podría vulnerar derechos constitucionales como la libertad de expresión, reunión pacífica y petición a las autoridades. Además, señalan que podría consolidar un marco de represión sistemática hacia los movimientos sociales.
Organizaciones locales ya han manifestado su oposición al proyecto y anunciaron que, de aprobarse, recurrirán al Tribunal Superior de Justicia de la provincia, y eventualmente a la Corte Suprema de Justicia de la Nación, por considerar que se trata de una amenaza estructural al entorno habilitante en Argentina.
&nbsp;
",2025-06-10,,,Argentina,"Civic Culture and Public Discourses on Civil Society, Respect and protection of fundamental freedoms, State openness and responsiveness to civil society",Negative,"Context to watch","Freedom of assembly, Freedom of expression","Changes affecting the environment for civil society actors to operate",,"Changes in degree of participation of and engagement with civil society, Supportive public culture and discourses on civil society","Negative discourses on CSOs, Negative labelling of CSOs",,,,,,
"Input from CSOs recognised in the recent Electoral Reform Technical Committee Report","Event Summary
On 5 June 2025, the Electoral Commission of Zambia (ECZ) publicly released the Electoral Reform Technical Committee (ERTC) Report, which includes key recommendations from Civil Society Organisations (CSOs). The ERTC was established to conduct a comprehensive review of Zambia’s legal and institutional electoral frameworks and to propose reforms. The report reflects input gathered through nationwide consultations with a broad range of stakeholders, including citizens, CSOs, political parties, the church, traditional leaders, and other interest groups. This publication represents a significant step toward enhancing transparency, inclusivity, and public engagement in Zambia’s electoral reform process.
By releasing the report publicly, the Electoral Commission of Zambia demonstrates a willingness to engage transparently with citizens and stakeholders. This move reinforces the principle of an Open and Responsive State, where public institutions make critical governance information accessible to the public. Secondly, civil society organizations (CSOs), especially those working in governance, human rights, and voter education, now have a credible, evidence-based tool to anchor their advocacy. The ERTC Report provides specific recommendations on improving electoral systems, increasing representation of marginalized groups, and reducing by-elections. On the policy front, the report’s recommendations, if taken seriously, could influence the amendment of electoral laws, constituency boundaries, and the conduct of future elections.
",2025-06-10,,,Zambia,"State openness and responsiveness to civil society",Positive,"Opportunity alert",,,,"Changes in degree of participation of and engagement with civil society, Changes in degree of transparency of government / freedom of information",,,,,,,
"Death of Zambia's Sixth Republic President Edgar Chagwa Lungu","Event Summary
On Thursday, 5th June 2025, it was officially announced that Zambia’s 6th Republican President, Edgar Chagwa Lungu, had died in South Africa while undergoing surgery. President Lungu governed Zambia from 2015 to 2021 before losing the presidency to the current Head of State, Hakainde Hichilema. After stepping back from politics briefly, he returned to the political scene in 2023 and signaled his intention to contest in the 2026 elections. However, the Constitutional Court ruled in 2024 that he was ineligible, having already served two terms as per the Zambian Constitution.
Despite the court ruling, Lungu remained a prominent and influential opposition figure and assumed leadership in a coalition of opposition parties. His death now creates a leadership vacuum within the opposition, with significant implications for political competition, public accountability, and checks on government power
",2025-06-11,,,Zambia,,Negative,,,,,,,,,,,,
"Presidential Remarks Fuel Mistrust Toward Civil Society and Undermine Democratic Space","Event Summary
On 2 June 2025, during Indonesia’s Pancasila Day celebrations, President-elect Prabowo Subianto made a speech accusing foreign powers of using civil society organizations (CSOs) to pit Indonesians against each other. He stated:
“With money, they fund CSOs to pit us against each other. They claim to be upholders of democracy, human rights, and press freedom—but that’s just their version.”
This narrative echoes previous statements made by Prabowo over the years, including in 2014 and at the Gerindra Party anniversary in February 2025, where he accused CSOs and media of being funded by foreign actors to manipulate public opinion. Coalitions of NGOs and human rights groups denounced the remarks as ahistorical and harmful, emphasizing the vital role of civil society in Indonesia’s democratic development.
National and international analysts expressed concern that these repeated accusations could erode public trust in civil society and legitimize future restrictions. NGOs have warned of rising “civilphobia” and “blind nationalism,” which not only endanger freedoms of expression and association but also risk alienating development partners.
Though no immediate legal changes have followed, these high-profile remarks signal an escalating shift in public discourse. Given past precedent in Indonesia—such as foreign agent laws being proposed under nationalist administrations—activists fear that institutional restrictions on civic space may follow.
",2025-06-12,,,Indonesia,"Civic Culture and Public Discourses on Civil Society, Respect and protection of fundamental freedoms",Negative,"Context to watch","Freedom of association, Freedom of expression, Freedom of the press / media, Non-physical Intimidation Tactics","Changes affecting the environment for civil society actors to operate, Changes affecting the protection from interference in civil society actor’s operations",,"Changes in degree of government accountability to civil society, Changes in degree of participation of and engagement with civil society","Negative discourses on CSOs, Negative labelling of CSOs, Public Defamation against NGOs","Social media attacks",,,,,
"US Funding Suspension and its Impact on Civil Society","Event Summary
Following the decision by the United States government to suspend with immediate effect from the 24th of January 2025, all funding, contracts, programs and activities, civil society organisations (CSOs) in Botswana including Botswana Council of Non-Governmental Organisations (BOCONGO) members, have not been spared. This funding suspension has had a ripple effect, severely impacting critical services provided by CSOs in various sectors, including healthcare, education, social protection, and democratic governance. As a result, many organisations have not only been forced to halt service provision but have also had to lay off staff. Some CSOs currently have their programs and projects terminated, some which were suspended are operating under a 90-day waver which is about to end.
According to BOCONGO’s rapid assessment of the impact of the funding suspension, the most affected types of services include critical healthcare, such as HIV testing, prevention, and treatment, tuberculosis screening, and clinical responses to gender-based violence as well as social protection programs including emergency support for orphans and vulnerable children and legal and policy advocacy for LGBTQIA+ rights. Apart from these critical support programs for vulnerable populations, democratic strengthening initiatives have also been affected.
The funding freeze comes at a time where many of the donors and development partners who for many years have been sources of support for the sector, have shifted their focus to lower income and developing countries, whereas Botswana has been classified as an upper middle-income country. This status implies that Botswana as a country is able to fully resource its entire development without the support of such partners, including the important work done by civil society organizations. However, this is not the case in Botswana as civil society organizations are grappling with severe resource gaps, with many that are providing critical services such as child protection threatened with discontinuation of their services.
",2025-06-12,,,Botswana,"Accessible and sustainable resources",Negative,"Deterioration alert","Freedom of association",,"Changes to the availability of funding, Changes to the effectiveness of funding, Changes to the sustainability of funding","Changes in degree of participation of and engagement with civil society, Supportive public culture and discourses on civil society","Negative discourses on CSOs",,,,,,
"Civil Society Engagement in Developing Regulations for the Public Benefit Organizations Act","Event Summary
The Kenyan government has extended the deadline for civil society organizations (CSOs) to formally register under the 2024 Public Benefit Organizations (PBO) Act  from 14 May 2025, to 13 May  2026, providing additional time for compliance and easing the transition from the repealed NGO Coordination Act of 1990. Alongside this extension, multi-stakeholder efforts are underway to finalize regulations to support the Act’s implementation. Harmonized draft regulations were completed between 14 and 26 May 2025, followed by stakeholder validation from 26 to 30 May. The draft was launched for public participation on 5 June, with civil society groups, including the Civic Freedom Forum, scheduled to consolidate feedback on 10 June. Nationwide public forums will take place from 19 June to 18 July, and a participation report will be submitted on 21 July. Feedback will be integrated by 25 July, and the final regulations validated and adopted from 28 to 31 July. The finalized regulations are expected to be launched on 1 August 2025, for submission to Parliament. This process reflects a collaborative spirit between government and civil society, creating a crucial opportunity for CSOs to engage, advocate for transparency, and monitor the implementation of the Act to safeguard civic space and accountability
",2025-06-13,,,Kenya,"Accessible and sustainable resources, State openness and responsiveness to civil society, Supportive legal and regulatory framework",Positive,"Opportunity alert",,"Changes affecting the environment for civil society actors to operate, Changes affecting the formation and registration of CSOs, Changes Increasing Administrative Burden for CSOs",,,,,,,,,
"Conviction of the President of the Main Opposition Party and former President of the Republic, Cristina Fernández de Kirchner","Event Summary
On 10 June 2025, Argentina’s Supreme Court confirmed the sentence of six years in prison and permanent disqualification from holding public office against Cristina Fernández de Kirchner, former President of the Republic and current head of the country’s main opposition party. The decision was issued just one week after she publicly announced her legislative candidacy, and has been widely described by multiple actors as an act of political proscription.
The ruling stems from a highly controversial judicial case for alleged corruption in the awarding of public works  (“Causa Vialidad”) marked by numerous procedural irregularities, including the absence of conclusive evidence (as confirmed by expert reports), violations of due process, and the application of Article 280 of the Procedural Code—which allows extraordinary appeals to be dismissed without substantive review or legal justification.
The ruling triggered immediate reactions from trade union confederations CGT and CTA, social movements, human rights organizations, and political leaders, all denouncing its punitive and politically motivated nature. Demonstrations in defense of democracy took place spontaneously in several parts of the country, including protests in front of the Supreme Court.
Fernández de Kirchner’s legal team has initiated international legal actions. A submission has already been filed before the International Criminal Court in The Hague, and an additional appeal to the Inter-American Commission on Human Rights (IACHR) has been announced, though not yet formally filed.
This event cannot be understood in isolation. It is part of a broader pattern of government actions that directly affect democratic memory and political opposition in Argentina. These include: the renaming of the Kirchner Cultural Center, removal of the name “Néstor Kirchner” from a national gas pipeline project, and the eviction and arrest of opposition figures at the Juan Domingo Perón Institute.
In light of these developments and the ongoing national election calendar, many sectors warn that this case sets a structural precedent threatening democratic environment and to the fundamental rights of political participation.
",2025-06-15,,,Argentina,"Civic Culture and Public Discourses on Civil Society, Respect and protection of fundamental freedoms, Supportive legal and regulatory framework",Negative,"Context to watch","Arbitrary Arrests and Detentions, Freedom of assembly, Freedom of association, Freedom of expression, Non-physical Intimidation Tactics","Changes affecting the environment for civil society actors to operate, Changes affecting the protection from interference in civil society actor’s operations",,"Changes in degree of government accountability to civil society, Changes in degree of participation of and engagement with civil society, Changes in degree of transparency of government / freedom of information, Supportive public culture and discourses on civil society",,,,,,,
"Defensores del territorio de Viacha amenazados y hostigados","Event Summary
Autoridades originarias y líderes comunitarios del municipio de Viacha, en el departamento de La Paz, denuncian hostigamiento, amenazas de muerte y difamación【1】por su defensa del territorio frente a la contaminación minera. Juan Pablo Yujra, presidente del Organismo de Gestión de Cuenca (OGC) de la Microcuenca Pallina, y otros dirigentes como Alex Callisaya y Pastor Carvajal, han sido blanco de intimidaciones, incluyendo amenazas con armas y agresiones verbales.
Las amenazas escalaron tras la denuncia internacional realizada por Carvajal el 2 de mayo de 2025 durante el 24º período de sesiones del Foro Permanente para las Cuestiones Indígenas de la ONU【2】【3】, donde expuso la contaminación de ríos y acuíferos por 23 empresas mineras sin licencia ambiental en Viacha. Incluso fue amedrentado durante el evento por un dirigente sindical boliviano.
Además, los defensores son víctimas de una campaña de desprestigio en redes sociales【4】, acusados falsamente de corrupción o vínculos con las empresas mineras. Sin embargo, estudios de la Universidad Mayor de San Andrés y de la Empresa Municipal de Agua de Viacha【5】confirman la grave contaminación con cianuro, metales pesados y ácidos, afectando agua, tierra, ganado y salud comunitaria.
Aunque algunas empresas fueron clausuradas en 2024, los comunarios denuncian que siguen operando clandestinamente. También reclaman haber sido excluidos de los procesos de fiscalización oficiales. La OGC, que representa a nueve comunidades, exige atención real y protección frente al daño ambiental y las represalias por su labor de defensa del territorio.
【1】https://alertacomun.substack.com/p/amenazan-a-defensores-del-territorio【2】https://www.facebook.com/watch/?v=9750952411657600【3】https://www.vision360.bo/noticias/2025/05/05/24374-indigenas-llevan-hasta-la-onu-denuncia-por-contaminacion-de-23-mineras-en-viacha【4】https://www.facebook.com/reel/1000885145192631【5】https://anabolivia.org/viacha-comunarios-denuncian-contaminacion-minera-y-exigen-salida-de-esas-empresas/
",2025-06-16,,,Bolivia,"Digital Environment Integrity and Security, Respect and protection of fundamental freedoms",Negative,"Early warning alert","Accountability for human rights violations, Freedom of assembly, Freedom of association, Freedom of expression, Non-physical Intimidation Tactics","Changes affecting the environment for civil society actors to operate",,"Changes in degree of government accountability to civil society, Changes in degree of participation of and engagement with civil society, Changes in degree of transparency of government / freedom of information, Supportive public culture and discourses on civil society","Negative discourses on CSOs, Negative labelling of CSOs, Public Defamation against NGOs","Social media attacks",,,,,
"Despido de la directora del Museo Sitio de Memoria ESMA","Event Summary
Para el resumen de este evento se ha realizado una entrevista a la Licenciada Mayki Gorosito, Directora Ejecutiva del Museo Sitio de Memoria ESMA, despedida el pasado 4 de junio. La entrevista completa: https://drive.google.com/file/d/1M-q_NupIj1O5uZHLP31yYDtMtuQCskJG/view?usp=sharing
El Gobierno Nacional, a través del Ministerio de Justicia, desplazó a Mayki Gorosito de su cargo como directora ejecutiva del Museo Sitio de Memoria ESMA. La medida generó un fuerte rechazo por parte de la asociación de sobrevivientes del ex centro clandestino de detención, quienes interpretaron el gesto como parte de una política de desmantelamiento en materia de derechos humanos.
Gorosito había asumido el cargo en abril de 2022. Su remoción se da en un contexto de recortes y reasignaciones impulsadas por el Ejecutivo en distintas áreas, incluida la de Memoria, Verdad y Justicia.
El ministro de Justicia, Mariano Cúneo Libarona, justificó la medida asegurando que &#8220;los espacios que antes eran destinados a programas ideológicos, ahora servirán en la lucha contra la inseguridad&#8221;, en línea con la reorientación de recursos que impulsa su cartera.
",2025-06-17,,,Argentina,"Accessible and sustainable resources, Civic Culture and Public Discourses on Civil Society, Respect and protection of fundamental freedoms, State openness and responsiveness to civil society, Supportive legal and regulatory framework",Negative,"Context to watch","Freedom of association, Freedom of expression","Changes affecting the environment for civil society actors to operate",,"Supportive public culture and discourses on civil society","Negative discourses on CSOs, Negative labelling of CSOs",,,,,,
"Supreme Court ruling in favour of freedom of expression and freedom of the press","Event Summary
On 17 May 2025, the Supreme Court of Justice of Panama issued a landmark ruling in favour of freedom of expression and the press, in the context of a civil lawsuit brought against the newspaper Corporación La Prensa, S.A. The lawsuit, filed in 2006 by a former justice of the Supreme Court, sought USD 25 million in damages over three articles published by La Prensa.
In its decision, the Court adopted the &#8220;actual malice&#8221; standard established by the U.S. Supreme Court in the New York Times Co. v. Sullivan case. This doctrine holds that in order for public figures to succeed in civil defamation suits, they must prove that the contested statements were made with knowledge of their falsity or with reckless disregard for the truth. Among other important points, the Panamanian Supreme Court also stated that compensation awards that merely aim to fulfil the plaintiffs’ dreams of fortune &#8211; by inflating the amounts disproportionately in order to silence those who are simply exercising their right to express themselves &#8211; cannot be allowed to prevail.
This decision marks a significant step forward for press freedom in Panama, contributing to a more enabling environment for independent media to hold power to account without fear of retaliation.
&nbsp;



&nbsp;
&nbsp;



",2025-06-18,,,Panama,"Respect and protection of fundamental freedoms",Positive,"Improvement alert","Freedom of expression, Freedom of the press / media, Non-physical Intimidation Tactics",,,,,,,,,,
"Disinformation and Harassment Against Environmental Organization","Event Summary
International environmental organization Oceana, dedicated to ocean defense and conservation, is currently the target of a disinformation and harassment campaign in Peru. This campaign has included attacks on social media, publications in print media, biased reports on online platforms, and digital harassment by anonymous accounts and figures linked to ultraconservative sectors. According to reports from the journalistic outlet El Foco, these actions allegedly appear to be promoted by the National Fisheries Society (SNP), the leading business association of the Peruvian fishing sector.
The harassment began after Oceana filed a public interest lawsuit before the judiciary, questioning the legality of industrial fishing within Protected Natural Areas (ANP), specifically in the Paracas and Nasca Ridge marine reserves. The organization argues that allowing large-scale extractive activities in these areas seriously threatens marine biodiversity and violates international conservation commitments. As a result of this campaign, Oceana has reported receiving death threats against some of its staff, allegedly from criminal networks. In an official statement, the organization called on the Peruvian fishing industry to redirect the debate toward a technical, scientifically-based discussion, distancing itself from personal attacks, disinformation, and defamation—particularly in a national context marked by increasing violence and insecurity.
For its part, the National Fisheries Society, through its executive director, issued a statement on its website reaffirming its stance on the lawsuit and public criticisms, though it did not directly address the allegations of harassment or threats.
",2025-06-18,,,Peru,"Civic Culture and Public Discourses on Civil Society, Digital Environment Integrity and Security, Respect and protection of fundamental freedoms",Negative,"Deterioration alert",,,,,"Negative labelling of CSOs, Public Defamation against NGOs","Social media attacks",,,,,
"La Fondation pour l’Égalité lance une carte interactive pour promouvoir les droits de l’enfant","Event Summary
La Fondation pour l’égalité, une association algérienne, a lancé le 10 juin 2025  une carte géolocalisée des associations, DASS (Directions de l’Action Sociale et de la Solidarité), et services médico-légaux à travers toute l’Algérie dans le cadre de la campagne de sensibilisation pour protéger les droits de l’enfant en Algérie. Selon la Fondation, la campagne vise à « sensibiliser les citoyens sur les droits fondamentaux des enfants, conformément à la Convention internationale relative aux droits de l’enfant (CIDE) » et d’ « informer sur les défis spécifiques rencontrés en Algérie en matière de droits de l’enfant ». Cette campagne a été lancée, depuis mars 2025, sur les réseaux sociaux, dont Youtube, Facebook, Tiktok, Twitter et Instagram, et propose des informatifs sur les droits de l’enfant.
 La Fondation pour l’égalité fait partie du Centre d’information et de documentation sur les droits de l’Enfant et de la Femme (CIDDEF), une ONG algérienne crée le 9 mai 2002, à Alger, par la juriste et militante Nadia Aït Zaï, qui est l’actuelle présidente de la Fondation pour l’Égalité. Le CIDDEF a pour mission de protéger les droits de l’enfant et de la femme, il détient un riche fonds documentaire sur le sujet et propose un soutien juridique et psychologique aux victimes. Il réalise également des travaux, notamment des études dans domaine. Le CIDDEF est actif sur le plan local et régional et contribue aux changements de loi concernant les droits de la femme et de l’enfant.
",2025-06-18,,,Algeria,"Respect and protection of fundamental freedoms",Positive,"Improvement alert","Improvement in the rights protection framework",,,,,,,,,,
"The arbitrary arrest of an environmental journalist","Event Summary
According to Reporters Without Borders (RSF) sources, on May 16, 2025, Cambodian environmental journalist Ouk Mao, from the online news website Eagle News, was arrested by plainclothes military officers without a warrant. He was then taken to the military police headquarters in Stung Treng, a province in northeastern Cambodia. This arrest is part of a longstanding campaign of judicial persecution against him, as he faces fourteen charges, including defamation and incitement, primarily related to his reporting. Mao claims these charges are retaliation from local officials seeking to silence his work exposing environmental crimes. The journalist has consistently faced escalating harassment and threats while documenting illegal logging in the Prey Lang Wildlife Sanctuary.
On 25 May 2025, the provincial court mandated his release under specific conditions. However, charges and complaints against him are still ongoing.
",2025-06-19,,,Cambodia,"Respect and protection of fundamental freedoms",Negative,"Context to watch","Arbitrary Arrests and Detentions, Freedom of the press / media",,,,,,,,,,
"Dr. Paul Chambers: Charges Dropped and Case Concluded","Event Summary
On 27 May 2025, the Office of the Attorney General issued a non-indictment order in the lèse-majesté case against Dr. Paul Chambers, an American academic specializing in civil-military relations in Southeast Asia. Dr. Chambers was charged under Section 112 (lèse-majesté) of the Criminal Code and Section 14(1) of the Computer Crimes Act B.E. 2250 (2007), in connection with a blurb for a webinar organized by the ISEAS &#8211; Yusof Ishak Institute, a research center based in Singapore, about the Thai military reshuffles.
The non-indictment order from the Office of the Attorney General brings the criminal case against Dr. Chambers to a close, 54 days after the arrest warrant was first issued against Dr. Chambers on 31 March 2025. However, the appeals against the revocation of his visa as well as the termination of his employment are still pending before the Immigration Commission and the Naresuan University Council, respectively.
",2025-06-20,,,Thailand,"Respect and protection of fundamental freedoms",Negative,,"HRD releases or dismissal of cases",,,,,,,,,,
"Presidential Primaries Amidst Growing Polarization in 2025 Electoral Cycle","Event Summary
Chile has entered a pivotal electoral period, with presidential primaries underway ahead of the general elections in November 2025. The political context is marked by the emergence of prominent candidates from both ends of the political spectrum, highlighting growing polarisation. This electoral cycle is also the first under the 2022 mandatory voting reform, which is expected to reshape turnout and voter engagement.
President Gabriel Boric’s administration, now entering its final stretch, has announced a mix of legislative initiatives, policy measures, and political positions -ranging from addressing the public security crisis and promoting social protections, to initiating debate on legal abortion, condemning Israel’s actions in Gaza, and proposing the transformation of Punta Peuco into a regular prison &#8211; aiming to consolidate its reformist agenda before handing over power in March 2026.
The convergence of an active primary season, the closing phase of a reform-driven government, and the backdrop of institutional changes positions Chile at a key turning point. This evolving context must be closely monitored, as it carries both risks and opportunities for Chile’s enabling environment. On one hand, the process is taking place within strong democratic institutions and encourages civic debate, pluralism, and electoral participation. However, the increasing visibility of polarised narratives and digital misinformation poses risks to public trust, social cohesion, and inclusive political discourse.
At the same time, this is also a moment of strategic opportunity. Civil society actors can engage in shaping political agendas, advocating for rights-based policies, and fostering inclusive debates on democracy, governance, and social justice. While the direction of these developments remains uncertain, the months ahead are critical for leveraging this pivotal transition to strengthen civil society participation.
",2025-06-23,,,Chile,"Civic Culture and Public Discourses on Civil Society, Respect and protection of fundamental freedoms, State openness and responsiveness to civil society",Positive,"Context to watch",,,,,,,,,,,
"Raid on Himilo Somali TV reveals continued deterioration of press freedom","Event Summary
On 12 June 2025, armed agents from Somalia’s National Intelligence and Security Agency (NISA) raided Himilo Somali TV, an independent media outlet based in Mogadishu. The raid followed the station’s broadcast of an interview with a young man who claimed he had been abducted and forcibly registered to vote.
According to two journalists who spoke with the Somali Journalists Syndicate (SJS), the incident occurred around 9:00 a.m. Fourteen armed NISA officers arrived at the Himilo Somali TV studio on Maka Al-Mukarama Road. Eight officers entered the building while six remained stationed outside at the gate. Journalists inside the studio reported that the armed agents caused panic among staff. In an effort to protect themselves, the journalists locked the doors. The agents demanded the removal of the interview report and searched for the journalist responsible, who was not present at the time. This represents a serious threat to the enabling environment for civil society, as it undermines press freedom, intimidates independent media, and discourages public discourse on electoral integrity.
",2025-06-23,,,Somalia,"Respect and protection of fundamental freedoms",Negative,"Deterioration alert","Freedom of expression, Freedom of the press / media",,,,,,,,,,
"Severe Restrictions on Participation and Monitoring during 5 June 2025 Elections","Event Summary
The legislative and communal elections of 5 June 2025 took place in a climate of serious deterioration, marked by the intimidation of opponents, targeted violence against activists and numerous irregularities. Far from being a free and transparent democratic exercise, the elections were marred by alleged massive fraud, pressure on voters and blatant manipulation of electoral institutions. Several opposition parties were prevented from campaigning under fair conditions, while civil society and the independent media saw their operating space drastically restricted. Access to pluralist information was compromised by censorship and state propaganda. In this context, citizen participation was largely weakened, fuelling a deep sense of mistrust in the electoral process. Instead of strengthening democratic gains, this election marked a clear regression in political freedoms, institutional transparency and civic expression.
",2025-06-23,,,Burundi,"Respect and protection of fundamental freedoms, State openness and responsiveness to civil society",Negative,"Deterioration alert","Freedom of the press / media",,,"Changes in degree of participation of and engagement with civil society, Changes in degree of transparency of government / freedom of information",,,,,,,
"Sri Lankan Government’s Continued Lack of Commitment to Participatory Governance","Event Summary
Sri Lanka’s commitment to transparent and participatory governance is being tested as the current  government continues to delay engagement with the Open Government Partnership (OGP) process. Although this criticism is targeted at the new administration, it is also underpinned by a longstanding pattern of neglect by previous governments, due to their failure to submit a National Action Plan for three consecutive years (2021, 2022, and 2023) pursuant to OGP standards.
As the deadline for submission of an Action Plan was 10 May 2025 , the co-conveners representing the civil society organizations (CSO) collective in the OGP process in Sri Lanka proactively reached out to the government in anticipation of a renewed commitment to restoring Sri Lanka’s active participation in the OGP. This readiness to re-engage was encouraged by the new government’s stated commitment to repealing legislation that restricts participatory governance and civil liberties.
However, despite repeated outreach by the co-conveners to initiate engagement, the relevant government entities &#8211; namely, the Ministry of Foreign Affairs, the Presidential Secretariat, and the Parliamentary Caucus for the Open Parliament Initiative—have neither acknowledged nor provided any clarification regarding the government’s stance on re-engaging with the OGP process.
Furthermore, the formal communication sent by the OGP Headquarters in Washington to the Government of Sri Lanka in December 2024 has also gone unanswered. As a result, Sri Lanka has lost the crucial opportunity to restore its active status and retain its membership in the OGP.
",2025-06-23,,,"Sri Lanka","Respect and protection of fundamental freedoms, State openness and responsiveness to civil society",Negative,"Context to watch",,,,"Changes in degree of participation of and engagement with civil society",,,,,,,
